日付,時刻,降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),平均風速(m/s),風向,日照時間(h),降雪(cm),積雪(cm)
2024-10-01,1,///,///,///,///,///,///,///,///,///,///
2024-10-01,2,///,///,///,///,///,///,///,///,///,///
2024-10-01,3,///,///,///,///,///,///,///,///,///,///
2024-10-01,4,///,///,///,///,///,///,///,///,///,///
2024-10-01,5,///,///,///,///,///,///,///,///,///,///
2024-10-01,6,///,///,///,///,///,///,///,///,///,///
2024-10-01,7,///,///,///,///,///,///,///,///,///,///
2024-10-01,8,///,///,///,///,///,///,///,///,///,///
2024-10-01,9,///,///,///,///,///,///,///,///,///,///
2024-10-01,10,///,///,///,///,///,///,///,///,///,///
2024-10-01,11,///,///,///,///,///,///,///,///,///,///
2024-10-01,12,///,///,///,///,///,///,///,///,///,///
2024-10-01,13,///,///,///,///,///,///,///,///,///,///
2024-10-01,14,///,///,///,///,///,///,///,///,///,///
2024-10-01,15,///,///,///,///,///,///,///,///,///,///
2024-10-01,16,///,///,///,///,///,///,///,///,///,///
2024-10-01,17,///,///,///,///,///,///,///,///,///,///
2024-10-01,18,///,///,///,///,///,///,///,///,///,///
2024-10-01,19,///,///,///,///,///,///,///,///,///,///
2024-10-01,20,///,///,///,///,///,///,///,///,///,///
2024-10-01,21,///,///,///,///,///,///,///,///,///,///
2024-10-01,22,///,///,///,///,///,///,///,///,///,///
2024-10-01,23,///,///,///,///,///,///,///,///,///,///
2024-10-01,24,///,///,///,///,///,///,///,///,///,///
2024-10-02,1,///,///,///,///,///,///,///,///,///,///
2024-10-02,2,///,///,///,///,///,///,///,///,///,///
2024-10-02,3,///,///,///,///,///,///,///,///,///,///
2024-10-02,4,///,///,///,///,///,///,///,///,///,///
2024-10-02,5,///,///,///,///,///,///,///,///,///,///
2024-10-02,6,///,///,///,///,///,///,///,///,///,///
2024-10-02,7,///,///,///,///,///,///,///,///,///,///
2024-10-02,8,///,///,///,///,///,///,///,///,///,///
2024-10-02,9,///,///,///,///,///,///,///,///,///,///
2024-10-02,10,///,///,///,///,///,///,///,///,///,///
2024-10-02,11,///,///,///,///,///,///,///,///,///,///
2024-10-02,12,///,///,///,///,///,///,///,///,///,///
2024-10-02,13,///,///,///,///,///,///,///,///,///,///
2024-10-02,14,///,///,///,///,///,///,///,///,///,///
2024-10-02,15,///,///,///,///,///,///,///,///,///,///
2024-10-02,16,///,///,///,///,///,///,///,///,///,///
2024-10-02,17,///,///,///,///,///,///,///,///,///,///
2024-10-02,18,///,///,///,///,///,///,///,///,///,///
2024-10-02,19,///,///,///,///,///,///,///,///,///,///
2024-10-02,20,///,///,///,///,///,///,///,///,///,///
2024-10-02,21,///,///,///,///,///,///,///,///,///,///
2024-10-02,22,///,///,///,///,///,///,///,///,///,///
2024-10-02,23,///,///,///,///,///,///,///,///,///,///
2024-10-02,24,///,///,///,///,///,///,///,///,///,///
2024-10-03,1,///,///,///,///,///,///,///,///,///,///
2024-10-03,2,///,///,///,///,///,///,///,///,///,///
2024-10-03,3,///,///,///,///,///,///,///,///,///,///
2024-10-03,4,///,///,///,///,///,///,///,///,///,///
2024-10-03,5,///,///,///,///,///,///,///,///,///,///
2024-10-03,6,///,///,///,///,///,///,///,///,///,///
2024-10-03,7,///,///,///,///,///,///,///,///,///,///
2024-10-03,8,///,///,///,///,///,///,///,///,///,///
2024-10-03,9,///,///,///,///,///,///,///,///,///,///
2024-10-03,10,///,///,///,///,///,///,///,///,///,///
2024-10-03,11,///,///,///,///,///,///,///,///,///,///
2024-10-03,12,///,///,///,///,///,///,///,///,///,///
2024-10-03,13,///,///,///,///,///,///,///,///,///,///
2024-10-03,14,///,///,///,///,///,///,///,///,///,///
2024-10-03,15,///,///,///,///,///,///,///,///,///,///
2024-10-03,16,///,///,///,///,///,///,///,///,///,///
2024-10-03,17,///,///,///,///,///,///,///,///,///,///
2024-10-03,18,///,///,///,///,///,///,///,///,///,///
2024-10-03,19,///,///,///,///,///,///,///,///,///,///
